question,topic,confidence,btc_direction
"Will Bitcoin reach $150,000 by December 31, 2025?",Bitcoin price target,0.695,1
"Will Bitcoin reach $130,000 by December 31, 2025?",Bitcoin price target,0.688,1
"Will Bitcoin reach $110,000 by December 31, 2025?",Bitcoin price target,0.683,1
"Will Bitcoin dip to $70,000 by December 31, 2025?",Bitcoin price target,0.593,1
"Will Bitcoin dip to $50,000 by December 31, 2025?",Bitcoin price target,0.594,1
"Will Bitcoin dip to $20,000 by December 31, 2025?",Bitcoin price target,0.604,1
"Will Ethereum hit $10,000 by December 31?",Ethereum price target,0.68,1
"Will Ethereum hit $8,000 by December 31?",Ethereum price target,0.683,1
"Will Ethereum hit $7,000 by December 31?",Ethereum price target,0.684,1
"Will Ethereum hit $6,000 by December 31?",Ethereum price target,0.682,1
"Will Ethereum hit $5,000 by December 31?",Ethereum price target,0.682,1
"Will Ethereum dip to $1,000 by December 31?",Ethereum price target,0.614,1
Solana ETF approved in 2025?,Solana price target,0.379,1
Ripple ETF approved in 2025?,other,0.444,0
Doge ETF approved in 2025?,other,0.313,0
MicroStrategy sells any Bitcoin in 2025?,MicroStrategy or corporate Bitcoin holding,0.43,1
US national Bitcoin reserve in 2025?,Bitcoin price target,0.358,1
Trump divorce in 2025?,other,0.625,0
Will Donald Trump win Nobel Peace Prize in 2025?,other,0.463,0
Cardano ETF in 2025?,other,0.456,0
Pepe ETF in 2025?,other,0.529,0
"Will Trump deport less than 250,000?",other,0.376,0
"Will Trump deport 250,000-500,000 people?",other,0.35,0
"Will Trump deport 500,000-750,000- people?",other,0.35,0
"Will Trump deport 750,000-1,000,000 people?",other,0.314,0
"Will Trump deport 1,000,000-1,250,000 people?",other,0.334,0
"Will Trump deport 1,250,000-1,500,000 people?",other,0.344,0
"Will Trump deport 1,500,000-1,750,000 people?",other,0.332,0
"Will Trump deport 1,750,000-2,000,000 people?",other,0.322,0
"Will Trump deport 2,000,000 or more people?",other,0.372,0
"Will Trump deport 750,000 or more people in 2025?",other,0.366,0
Will the next UK election be called by June 30?,other,0.291,0
Will the next UK election be called by December 31?,other,0.287,0
Will the Liberal Party win the most seats in the next Canadian election?,other,0.272,0
Will Bloc Québécois party win the most seats in the next Canadian election?,other,0.323,0
Will the New Democratic Party win the most seats in the next Canadian election?,other,0.296,0
Will the People's party win the most seats in the next Canadian election?,other,0.307,0
Will the Conservative Party win the second most seats in the next Canadian election?,other,0.291,0
Conservatives win majority in Canadian election?,other,0.252,0
Will Trump cut taxes on high earners in 2025?,other,0.379,0
Will Trump cut corporate taxes in 2025?,other,0.424,0
Will Trump pardon less than 250 Jan 6 protestors in his first 100 days?,other,0.367,0
Will Trump pardon 250-499 Jan 6 protestors in his first 100 days?,other,0.397,0
Will Trump pardon 750-999 Jan 6 protestors in his first 100 days?,other,0.4,0
"Will Trump pardon 1,500 or more Jan 6 protestors in his first 100 days?",other,0.374,0
Will Trump acquire Greenland in 2025?,other,0.48,0
Will Trump be impeached in 2025?,other,0.499,0
Trump takes Panama Canal in 2025?,other,0.418,0
Congressional term limits in 2025? ,other,0.504,0
Will Labour win the most seats in the next Australian parliamentary election?,other,0.314,0
Will another party win the most seats in the next Australian parliamentary election?,other,0.682,0
Will Peter Dutton be the next Prime Minister of Australia after the 2025 election?,other,0.428,0
Will Anthony Albanese be the next Prime Minister of Australia after the 2025 election?,other,0.44,0
Will the Washington Capitals win the 2025 President’s Trophy?,sports and entertainment,0.406,0
Will the Winnipeg Jets win the 2025 President’s Trophy?,sports and entertainment,0.287,0
Will the Los Angeles Kings win the 2025 President’s Trophy?,sports and entertainment,0.526,0
Gavin Newsom out as California Governor in 2025?,other,0.572,0
Trump positive favorability on Day 100?,other,0.416,0
Will Trump pardon Elon Musk in his first 100 days?,other,0.478,0
Will Trump cut military spending?,other,0.407,0
Will Donald Trump visit the United Kingdom in 2025?,other,0.371,0
Will Donald Trump visit Mexico in 2025?,other,0.413,0
Will Donald Trump visit Saudi Arabia in 2025?,other,0.412,0
Will Donald Trump visit South Korea in 2025?,other,0.44,0
Will Donald Trump visit France in 2025?,other,0.398,0
US national Solana reserve in 2025?,Solana price target,0.472,1
US national Ethereum reserve in 2025?,Ethereum price target,0.307,1
Will Donald Trump visit Russia in 2025?,other,0.437,0
Will Donald Trump visit Ukraine in 2025?,other,0.465,0
Will Donald Trump visit Taiwan in 2025?,other,0.513,0
Texas Strategic Bitcoin Reserve Act (H.B. 1598) signed in 2025?,crypto ban or negative regulation,0.327,-1
Will Călin Georgescu win the Romanian presidential election?,other,0.283,0
Will Victor Ponta win the Romanian presidential election?,other,0.32,0
Will Nicușor Dan win the Romanian presidential election?,other,0.292,0
Will Elena Lasconi win the Romanian presidential election?,other,0.323,0
Will Crin Antonescu win the Romanian presidential election?,other,0.345,0
Will Marcel Ciolacu win the Romanian presidential election?,other,0.331,0
Will Ana Birchall win the Romanian presidential election?,other,0.306,0
Will Nicolae Ciucă win the Romanian presidential election?,other,0.293,0
Will Mircea Geoană win the Romanian presidential election?,other,0.308,0
Will Hunor Kelemen win the Romanian presidential election?,other,0.319,0
Will Daniel Funeriu win the Romanian presidential election?,other,0.349,0
Will Ilie Bolojan win the Romanian presidential election?,other,0.346,0
Will Anton Pisaroglu win the Romanian presidential election?,other,0.316,0
Will Anamaria Gavrilă win the Romanian presidential election?,other,0.314,0
Will Cristian-Vasile Terheș win the Romanian presidential election?,other,0.29,0
Will Marcela-Lavinia Șandru win the Romanian presidential election?,other,0.293,0
Will John-Ion Banu-Muscel win the Romanian presidential election?,other,0.278,0
Will Sebastian-Constantin Popescu win the Romanian presidential election?,other,0.324,0
Will Trump pardon Rudy Giuliani in his first 100 days?,other,0.473,0
Bitcoin all time high by June 30?,Bitcoin price target,0.814,1
Solana all time high by June 30?,Solana price target,0.694,1
Kamala Harris divorce in 2025?,other,0.717,0
Trump abolishes the Federal Income Tax in 2025?,other,0.307,0
Trump eliminates capital gains tax on crypto before June?,Trump policy and executive order,0.253,1
Will SOL flip ETH before May?,Ethereum price target,0.449,1
Will Donald Trump visit China in 2025?,other,0.455,0
Will Trump cut long term capital gains tax in 2025?,other,0.414,0
Fed decreases interest rates by 50+ bps after May 2025 meeting?,Federal Reserve interest rate cut,0.857,1
Fed decreases interest rates by 25 bps after May 2025 meeting?,Federal Reserve interest rate cut,0.831,1
No change in Fed interest rates after May 2025 meeting?,other,0.447,0
Fed increases interest rates by 25+ bps after May 2025 meeting?,Federal Reserve interest rate hike,0.876,-1
Will Trump meet with Kim Jong Un in his first 100 days?,other,0.434,0
Will Trump meet with Xi Jinping in his first 100 days?,other,0.465,0
Will Trump meet with Mohammed bin Salman in his first 100 days?,other,0.485,0
Trump removed via 25th Amendment in 2025?,other,0.557,0
Will Trump resign in 2025?,other,0.517,0
Will Trump impose tariffs on Denmark in the first 100 days?,other,0.315,0
Will Trump impose tariffs on Panama in the first 100 days?,tariff and trade war escalation,0.298,-1
Will Trump pardon Bob Menendez in his first 100 days?,other,0.414,0
Jerome Powell out as Fed Chair in 2025?,Federal Reserve interest rate hike,0.33,-1
Will Trump & Elon reduce the deficit in 2025? ,other,0.332,0
Will Trump remove tariff on Mexico before May?,other,0.341,0
Will Trump remove tariff on Canada before May?,other,0.327,0
Will Trump increase tariffs on Canada before May?,tariff and trade war escalation,0.551,-1
Aleksandar Vučić out as President of Serbia before May?,other,0.303,0
Milei out as President of Argentina before July?,other,0.273,0
Milei out as President of Argentina in 2025?,other,0.398,0
Meloni out as Prime Minister of Italy in 2025?,other,0.523,0
Will Trump end USAID in first 100 days?,other,0.286,0
Trump's sovereign wealth fund acquires Bitcoin before July?,other,0.309,0
Fed decreases interest rates by 50+ bps after June 2025 meeting?,Federal Reserve interest rate cut,0.853,1
Fed decreases interest rates by 25 bps after June 2025 meeting?,Federal Reserve interest rate cut,0.827,1
No change in Fed interest rates after June 2025 meeting?,other,0.44,0
Fed increases interest rates by 25+ bps after June 2025 meeting?,Federal Reserve interest rate hike,0.874,-1
Will Trump announce withdrawal from Syria in first 100 days?,other,0.469,0
Will Trump impose tariffs on Brazil in the first 100 days?,tariff and trade war escalation,0.319,-1
Will LLA hold the most seats in the Chamber of Deputies following the 2025 Argentina election?,other,0.284,0
Will UP hold the most seats in the Chamber of Deputies following the 2025 Argentina election?,other,0.31,0
Will PRO hold the most seats in the Chamber of Deputies following the 2025 Argentina election?,other,0.335,0
Will UCR hold the most seats in the Chamber of Deputies following the 2025 Argentina election?,other,0.358,0
Will HNP hold the most seats in the Chamber of Deputies following the 2025 Argentina election?,other,0.312,0
Will FIT-U hold the most seats in the Chamber of Deputies following the 2025 Argentina election?,other,0.338,0
Will SER hold the most seats in the Chamber of Deputies following the 2025 Argentina election?,other,0.349,0
Will Elon and DOGE cut less than $50b in federal spending in 2025?,other,0.299,0
Will Elon and DOGE cut between $50-100b in federal spending in 2025?,other,0.297,0
Will Elon and DOGE cut between $100-150b in federal spending in 2025?,other,0.29,0
Will Elon and DOGE cut between $150-200b in federal spending in 2025?,other,0.282,0
Will Elon and DOGE cut between $200-250b in federal spending in 2025?,other,0.276,0
Will Elon and DOGE cut more than $250b in federal spending in 2025?,other,0.277,0
Trump cuts taxes in first 100 days?,Trump policy and executive order,0.377,1
Will Trump remove carried interest loophole before July?,other,0.261,0
Will Ron Paul audit the Federal Reserve?,other,0.232,0
North Carolina Bitcoin Reserve Act signed before July?,crypto ban or negative regulation,0.474,-1
Japan prime minister Ishiba out in 2025?,other,0.516,0
Netherlands election called before May?,global politics and foreign elections,0.653,0
Will Trump meet with Lai Ching-te in his first 100 days?,other,0.476,0
Will Trump meet with Lula da Silva in his first 100 days?,other,0.438,0
Will Trump end FEMA in first 100 days?,Trump policy and executive order,0.242,1
"Will Trump rename Greenland 'Red, White, and Blueland' before July?",other,0.398,0
Trump declassifies 9/11 files in first 100 days?,Trump policy and executive order,0.63,1
Will Israel annex West Bank territory in 2025?,other,0.378,0
Will SOL flip ETH in 2025?,Ethereum price target,0.356,1
Will Trump end Department of Education in 2025?,crypto ban or negative regulation,0.398,-1
"Trump, Putin, and Zelensky seen together before July?",other,0.606,0
Will egg prices be less than $5.00 in March?,other,0.403,0
Will egg prices be between $5.75 and $6.00 in March?,other,0.446,0
Will Trump visit Russia in first 100 days?,other,0.344,0
Ukraine election called in 2025?,other,0.519,0
Will CDP hold the most seats in the House of Councillors following the 2025 Japan election?,other,0.367,0
Will Komeito hold the most seats in the House of Councillors following the 2025 Japan election?,other,0.402,0
Will JCP hold the most seats in the House of Councillors following the 2025 Japan election?,other,0.358,0
Will DPP hold the most seats in the House of Councillors following the 2025 Japan election?,other,0.284,0
Will SDP hold the most seats in the House of Councillors following the 2025 Japan election?,other,0.363,0
Will DIY hold the most seats in the House of Councillors following the 2025 Japan election?,other,0.371,0
Will LDP win the most seats in the House of Councillors following the 2025 Japan election?,other,0.364,0
Will CDP win the most seats in the House of Councillors following the 2025 Japan election?,other,0.33,0
Will Komeito win the most seats in the House of Councillors following the 2025 Japan election?,other,0.369,0
Will JIP win the most seats in the House of Councillors following the 2025 Japan election?,other,0.341,0
Will JCP win the most seats in the House of Councillors following the 2025 Japan election?,other,0.336,0
Will DPP win the most seats in the House of Councillors following the 2025 Japan election?,other,0.259,0
Will Mintsuku win the most seats in the House of Councillors following the 2025 Japan election?,other,0.325,0
Will Tim Walz announce Senate run before July?,other,0.384,0
"Ukraine election held by December 31, 2025?",global politics and foreign elections,0.3,0
Government coalition formed within 100 days of German election?,global politics and foreign elections,0.467,0
Will Trump Media invest in Bitcoin before July?,Bitcoin price target,0.301,1
Will Trump Media invest in Ethereum before July?,Ethereum price target,0.296,1
Will Trump Media invest in Solana before July?,other,0.296,0
Will Trump Media invest in $TRUMP before July?,other,0.229,0
Will Pamela Bondi be out as Attorney General in Trump's first 100 days?,other,0.33,0
Will Scott Bessent be out as Secretary of the Treasury in Trump's first 100 days?,other,0.301,0
Will Pete Hegseth be out as Secretary of Defense in Trump's first 100 days?,other,0.337,0
Will Marco Rubio be out as Secretary of State in Trump's first 100 days?,other,0.4,0
Will Robert F. Kennedy Jr. be out as Secretary of Health and Human Services in Trump's first 100 days?,other,0.406,0
Will Tulsi Gabbard be out as Director of National Intelligence in Trump's first 100 days?,other,0.387,0
Will Lee Zeldin be out as Administrator of the Environmental Protection Agency in Trump's first 100 days?,other,0.245,0
Will Karoline Leavitt be out as White House Press Secretary in Trump's first 100 days?,other,0.36,0
Will Jerome Powell be out as Federal Reserve Chair in Trump's first 100 days?,Federal Reserve interest rate hike,0.296,-1
Will Susie Wiles be out as White House Chief of Staff in Trump's first 100 days?,other,0.31,0
Will Trump create a DOGE dividend in 2025? ,gold or dollar strength,0.234,1
Will Trump audit Ukraine aid before May?,other,0.208,0
Will Trump meet with Kim Jong Un in 2025?,other,0.585,0
Will Trump meet with Xi Jinping in 2025?,other,0.589,0
Will Trump meet with Ali Khamenei in 2025?,other,0.61,0
Will Trump meet with Lai Ching-te in 2025?,other,0.575,0
Will Trump meet with Lula da Silva in 2025?,other,0.551,0
Will Trump meet with MrBeast in 2025?,other,0.556,0
Will Trump meet with Jair Bolsonaro in 2025?,other,0.555,0
Will Trump meet with Yoon Suk Yeol in 2025?,other,0.609,0
Will Trump meet with Abdel Fattah El-Sisi in 2025?,other,0.569,0
Will Trump meet with iShowSpeed in 2025?,other,0.441,0
Will Trump meet with Ahmed al-Sharaa in 2025?,other,0.511,0
Trump abolishes IRS in 2025?,other,0.372,0
Will Trump withdraw the U.S. from NATO in 2025?,other,0.391,0
Trump announces withdrawal of U.S. troops from Warsaw Pact country before July?,Trump policy and executive order,0.503,1
Will DOGE audit the Federal Reserve before May?,other,0.289,0
Bybit insolvent in 2025?,other,0.389,0
Will Joe Biden be named in Epstein files?,other,0.387,0
Trump cabinet member out in 2025?,other,0.54,0
Will Donald Trump visit Italy in 2025?,other,0.461,0
Will MicroStrategy announce bankruptcy in 2025?,other,0.401,0
Elon out of Trump administration before July?,other,0.471,0
Elon out of Trump administration in 2025?,other,0.597,0
Trump's face on the $250 bill before July?,other,0.328,0
Will MicroStrategy be forced to liquidate Bitcoin holdings in 2025?,crypto ban or negative regulation,0.383,-1
Trump agrees to send U.S. peacekeeping force to Ukraine?,Trump policy and executive order,0.358,1
Georgescu in jail before Romanian election?,crypto ban or negative regulation,0.24,-1
Will Xander Schauffele win the 2025 FedEx Cup?,other,0.326,0
Will Rory McIlroy win the 2025 FedEx Cup?,sports and entertainment,0.419,0
Will Ludvig Aberg win the 2025 FedEx Cup?,sports and entertainment,0.315,0
Will Hideki Matsuyama win the 2025 FedEx Cup?,other,0.322,0
Will Justin Thomas win the 2025 FedEx Cup?,sports and entertainment,0.391,0
Will Tom Kim win the 2025 FedEx Cup?,sports and entertainment,0.318,0
Will Sahith Theegala win the 2025 FedEx Cup?,other,0.28,0
Will Tony Finau win the 2025 FedEx Cup?,sports and entertainment,0.312,0
Will Wyndham Clark win the 2025 FedEx Cup?,sports and entertainment,0.347,0
Will Sam Burns win the 2025 FedEx Cup?,sports and entertainment,0.375,0
Will Tommy Fleetwood win the 2025 FedEx Cup?,other,0.301,0
Will Sepp Straka win the 2025 FedEx Cup?,sports and entertainment,0.301,0
Will JJ Spaun win the 2025 FedEx Cup?,sports and entertainment,0.325,0
Will Trump sell 0 Gold Cards in 2025?,gold or dollar strength,0.339,1
Will Trump sell 1-100 Gold Cards in 2025?,gold or dollar strength,0.302,1
Will Trump sell 101-1k Gold Cards in 2025?,gold or dollar strength,0.277,1
Will Trump sell 1k-2.5k Gold Cards in 2025?,other,0.288,0
Will Trump sell 2.5k-5k Gold Cards in 2025?,gold or dollar strength,0.271,1
Will Trump sell 5k-10k Gold Cards in 2025?,gold or dollar strength,0.306,1
Will Trump sell 10k-25k Gold Cards in 2025?,gold or dollar strength,0.292,1
Will Trump sell 25k-100k Gold Cards in 2025?,gold or dollar strength,0.291,1
" ""Drain the Swamp Act"" passes the House before May?",other,0.257,0
Will Trump sell over 100k Gold Cards in 2025?,gold or dollar strength,0.374,1
Trump banned from Canada before May?,other,0.341,0
Will Trump launch a metaverse before July?,other,0.53,0
Will Trump launch a blockchain before July?,other,0.305,0
Will Casey DeSantis run for Florida Governor?,other,0.309,0
Trump severs ties with Ukraine before May?,other,0.425,0
Will Trump pardon Joe Exotic in his first 100 days?,other,0.559,0
Trump signs bill cutting Social Security before July?,Trump policy and executive order,0.616,1
Will the Conservative Party win the popular vote in Canada's next election?,other,0.269,0
Will the Liberal Party win the popular vote in Canada's next election?,other,0.287,0
Will the Bloc Québécois win the popular vote in Canada's next election?,other,0.294,0
Will the New Democratic Party win the popular vote in Canada's next election?,other,0.32,0
Will the Green Party win the popular vote in Canada's next election?,other,0.338,0
Will another party win the popular vote in Canada's next election?,other,0.726,0
Will U.S. GDP growth be greater than 2% in Q1 2025?,other,0.328,0
Will U.S. GDP growth be between 2% and 1% in Q1 2025?,other,0.378,0
Will U.S. GDP growth be between 1% and 0% in Q1 2025?,other,0.357,0
Will U.S. GDP growth be less than -2% in Q1 2025?,other,0.309,0
Will Zelensky wear suit next Trump meeting?,other,0.439,0
Will Trump sign mineral deal without Zelenskyy apology?,other,0.477,0
Fed rate cut in 2025?,Federal Reserve interest rate cut,0.729,1
Will Belarus start mining Bitcoin before June?,other,0.288,0
Fed abolished in 2025?,other,0.247,0
Will Trump deport Ukrainians before May?,other,0.234,0
Will Federico Valverde win the 2025 Ballon d'Or?,sports and entertainment,0.319,0
 Karen Bass recall election called before September?,other,0.491,0
ETH flipped in 2025?,other,0.533,0
Bitcoin all time high before 2026?,Bitcoin price target,0.775,1
Ethereum all time high before 2026?,Ethereum price target,0.768,1
Solana all time high before 2026?,Solana price target,0.651,1
Will Trump attend SpaceX Starship Flight Test 9?,other,0.48,0
Trump tariff on EU alcohol before May?,Trump policy and executive order,0.382,1
Will Trump pardon CZ in his first 100 days?,other,0.288,0
Will $BITCOIN be the next coin listed on Robinhood?,Bitcoin price target,0.426,1
CNN/MSNBC sued for libel against Trump?,other,0.421,0
Will Trump jail Fauci?,crypto ban or negative regulation,0.362,-1
Trump charges Member of January 6 committee? ,other,0.343,0
Will Trump jail Adam Kinzinger?,other,0.282,0
Will Trump jail Liz Cheney?,crypto ban or negative regulation,0.333,-1
Will Trump jail Biden family member?,other,0.298,0
Trump overturns Biden pardon before July?,other,0.408,0
Will the Democratic Alliance win the most seats in the 2025 Portuguese legislative election?,other,0.283,0
Will CHEGA win the most seats in the 2025 Portuguese legislative election?,other,0.247,0
Will the People-Animals-Nature Party win the most seats in the 2025 Portuguese legislative election?,other,0.394,0
Will Livre win the most seats in the 2025 Portuguese legislative election?,other,0.284,0
Will the Unitary Democratic Coalition (PCP+PEV) win the most seats in the 2025 Portuguese legislative election?,other,0.307,0
Will the Conservatives win less than 100 seats in the next Canadian Election?,other,0.286,0
Will the Conservatives win between 100-119 seats in the next Canadian Election?,other,0.327,0
Will the Conservatives win between 120-139 seats in the next Canadian Election?,other,0.314,0
Will the Conservatives win between 140-149 seats in the next Canadian Election?,other,0.315,0
Will the Conservatives win between 150-159 seats in the next Canadian Election?,other,0.304,0
Will the Conservatives win between 160-169 seats in the next Canadian Election?,other,0.307,0
Will the Conservatives win between 170-179 seats in the next Canadian Election?,other,0.311,0
Will the Conservatives win between 180-189 seats in the next Canadian Election?,other,0.305,0
Will the Conservatives win more than 210 seats in the next Canadian Election?,other,0.286,0
Will Luís Montenegro be the next Prime Minister of Portugal after the 2025 election?,other,0.391,0
Will Pedro Nuno Santos be the next Prime Minister of Portugal after the 2025 election?,other,0.387,0
Will André Ventura be the next Prime Minister of Portugal after the 2025 election?,other,0.341,0
Will Rui Rocha be the next Prime Minister of Portugal after the 2025 election?,other,0.382,0
Will Paulo Raimundo be the next Prime Minister of Portugal after the 2025 election?,other,0.371,0
Will Nicușor Dan advance to the Romanian Presidential Election Runoff?,other,0.358,0
Will Crin Antonescu advance to the Romanian Presidential Election Runoff?,other,0.357,0
Will Anamaria Gavrilă advance to the Romanian Presidential Election Runoff?,other,0.354,0
Will the Conservative Party win the Canadian election by over 12%?,other,0.34,0
Will the Conservative Party win the Canadian election by 9-12%?,other,0.346,0
Will the Conservative Party win the Canadian election by 3-6%?,other,0.346,0
Will the Conservative Party win the Canadian election by 0-3%?,other,0.334,0
Will the Liberal Party win the Canadian election by 3-6%?,other,0.399,0
Will the Liberal Party win the Canadian election by 6-9%?,other,0.394,0
Will the Liberal Party win the Canadian election by 9-12%?,other,0.394,0
Will the Liberal Party win the Canadian election by over 12%?,other,0.374,0
Senator Eichorn guilty of soliciting a child?,crypto ban or negative regulation,0.396,-1
Will the Liberals win less than 100 seats in the next Canadian Election?,other,0.296,0
